conname,child_schema,child_table,parent_schema,parent_table,on_update,on_delete,constraintdef,child_total_bytes,child_live_tup,child_upd,child_del,parent_upd,parent_del,has_covering_index
nbcu_style_guide_core_style_guide_id_fkey,plm,nbcu_style_guide,core,style_guide,a,r,FOREIGN KEY (core_style_guide_id) REFERENCES core.style_guide(id) ON DELETE RESTRICT,999424,0,0,0,0,0,True
nbcu_style_guide_capture_id_fkey,plm,nbcu_style_guide,plm,nbcu_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.nbcu_capture(id) ON DELETE RESTRICT,999424,0,0,0,0,0,True
marvel_dcp_property_last_seen_metadata_run_id_fkey,plm,marvel_dcp_property,plm,marvel_dcp_metadata_run,a,n,FOREIGN KEY (last_seen_metadata_run_id) REFERENCES plm.marvel_dcp_metadata_run(metadata_run_id) ON DELETE SET NULL,983040,0,0,0,0,0,False
marvel_dcp_property_first_seen_metadata_run_id_fkey,plm,marvel_dcp_property,plm,marvel_dcp_metadata_run,a,n,FOREIGN KEY (first_seen_metadata_run_id) REFERENCES plm.marvel_dcp_metadata_run(metadata_run_id) ON DELETE SET NULL,983040,0,0,0,0,0,False
wwe_asset_folder_parent_fkey,plm,wwe_asset_folder,plm,wwe_asset_folder,a,r,"FOREIGN KEY (capture_id, parent_folder_source_id) REFERENCES plm.wwe_asset_folder(capture_id, folder_source_id) ON DELETE RESTRICT DEFERRABLE INITIALLY DEFERRED",966656,1272,0,0,0,0,True
wwe_asset_folder_capture_fkey,plm,wwe_asset_folder,plm,wwe_creative_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.wwe_creative_capture(id) ON DELETE RESTRICT,966656,1272,0,0,1,0,True
marvel_asgard_character_last_seen_capture_key_fkey,plm,marvel_asgard_character,plm,marvel_asgard_capture,a,a,FOREIGN KEY (last_seen_capture_key) REFERENCES plm.marvel_asgard_capture(capture_key),958464,0,0,0,0,0,False
marvel_asgard_character_first_seen_capture_key_fkey,plm,marvel_asgard_character,plm,marvel_asgard_capture,a,a,FOREIGN KEY (first_seen_capture_key) REFERENCES plm.marvel_asgard_capture(capture_key),958464,0,0,0,0,0,False
dcp_metadata_chunk_ledger_metadata_run_id_fkey,plm,dcp_metadata_chunk_ledger,plm,dcp_metadata_run,a,c,FOREIGN KEY (metadata_run_id) REFERENCES plm.dcp_metadata_run(metadata_run_id) ON DELETE CASCADE,942080,0,0,0,0,0,True
art_piece_attachment_updated_by_fkey,plm,art_piece_attachment,app,users,a,a,FOREIGN KEY (updated_by) REFERENCES app.users(id),901120,0,0,0,0,0,True
art_piece_attachment_art_piece_id_fkey,plm,art_piece_attachment,designflow_frozen_20260710,art_piece,a,a,FOREIGN KEY (art_piece_id) REFERENCES designflow_frozen_20260710.art_piece(id),901120,0,0,0,0,0,True
art_piece_attachment_divisioncode_id_fkey,plm,art_piece_attachment,plm,divisionCode,a,a,"FOREIGN KEY (divisioncode_id) REFERENCES plm.""divisionCode""(""divCode_id"")",901120,0,0,0,0,0,True
art_piece_attachment_company_code_fkey,plm,art_piece_attachment,plm,companyCode,a,a,"FOREIGN KEY (company_code) REFERENCES plm.""companyCode""(""comCode_id"")",901120,0,0,0,0,0,True
art_piece_attachment_created_by_fkey,plm,art_piece_attachment,app,users,a,a,FOREIGN KEY (created_by) REFERENCES app.users(id),901120,0,0,0,0,0,True
factory_company_id_fkey,core,factory,core,customer,a,n,FOREIGN KEY (company_id) REFERENCES core.customer(id) ON DELETE SET NULL,851968,0,0,0,0,0,False
creative_submission_property_reso_supersedes_resolution_id_fkey,plm,creative_submission_property_resolution,plm,creative_submission_property_resolution,r,r,FOREIGN KEY (supersedes_resolution_id) REFERENCES plm.creative_submission_property_resolution(resolution_id) ON UPDATE RESTRICT ON DELETE RESTRICT,843776,1148,0,0,0,0,True
art_piece_attachment_divisioncode_id_fkey,dflow,art_piece_attachment,dflow,divisionCode,a,a,"FOREIGN KEY (divisioncode_id) REFERENCES dflow.""divisionCode""(""divCode_id"")",794624,0,0,0,0,0,True
art_piece_attachment_art_piece_id_fkey,dflow,art_piece_attachment,dflow,art_piece,a,a,FOREIGN KEY (art_piece_id) REFERENCES dflow.art_piece(id),794624,0,0,0,0,0,True
art_piece_attachment_company_code_fkey,dflow,art_piece_attachment,dflow,companyCode,a,a,"FOREIGN KEY (company_code) REFERENCES dflow.""companyCode""(""comCode_id"")",794624,0,0,0,0,0,True
art_piece_attachment_created_by_fkey,dflow,art_piece_attachment,dflow,users,a,a,FOREIGN KEY (created_by) REFERENCES dflow.users(id),794624,0,0,0,25,0,True
art_piece_attachment_updated_by_fkey,dflow,art_piece_attachment,dflow,users,a,a,FOREIGN KEY (updated_by) REFERENCES dflow.users(id),794624,0,0,0,25,0,True
wwe_tag_capture_id_fkey,plm,wwe_tag,plm,wwe_creative_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.wwe_creative_capture(id) ON DELETE RESTRICT,729088,1670,0,0,1,0,True
factory_source_ref_factory_id_fkey,core,factory_source_ref,core,factory,a,c,FOREIGN KEY (factory_id) REFERENCES core.factory(id) ON DELETE CASCADE,720896,0,0,0,0,0,False
pdf_rich_extraction_asset_id_fkey,dam,pdf_rich_extraction,public,assets,a,c,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE,704512,0,0,0,1478880,0,True
wb_property_capture_id_capture_chunk_fkey,plm,wb_property,plm,wb_capture,a,r,"FOREIGN KEY (capture_id, capture_chunk) REFERENCES plm.wb_capture(capture_id, chunk_number) ON DELETE RESTRICT",671744,0,0,0,0,0,False
coke_approval_vocabulary_valu_capture_id_approval_route_id_fkey,plm,coke_approval_vocabulary_value,plm,coke_approval_item,a,a,"FOREIGN KEY (capture_id, approval_route_id) REFERENCES plm.coke_approval_item(capture_id, approval_route_id)",630784,0,0,0,0,0,True
coke_approval_vocabulary_valu_capture_id_vocabulary_kind_v_fkey,plm,coke_approval_vocabulary_value,plm,coke_vocabulary_value,a,a,"FOREIGN KEY (capture_id, vocabulary_kind, value_key) REFERENCES plm.coke_vocabulary_value(capture_id, vocabulary_kind, value_key)",630784,0,0,0,0,0,False
opa_property_studio_resolution_licensed_property_id_fkey,plm,opa_property_studio_resolution,plm,opa_property,a,r,FOREIGN KEY (licensed_property_id) REFERENCES plm.opa_property(licensed_property_id) ON DELETE RESTRICT,622592,0,0,0,0,0,True
pmt_property_collection_capture_id_fkey,plm,pmt_property_collection,plm,pmt_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.pmt_capture(capture_id) ON DELETE RESTRICT,614400,0,0,0,0,0,True
