schema,table_name,index_name,indexdef,is_unique,is_primary,is_valid,is_ready,is_partial,has_expressions,key_atts,total_atts,constraint_owned,constraint_type,index_bytes,idx_scan,idx_tup_read,idx_tup_fetch,last_idx_scan
plm,dcp_asset_tile_observation,dcp_asset_tile_observation_pkey,"CREATE UNIQUE INDEX dcp_asset_tile_observation_pkey ON plm.dcp_asset_tile_observation USING btree (crawl_id, dcp_asset_id, portal_tile_id, listing_kind)",True,True,True,True,False,False,4,4,True,p,45080576,0,0,0,
public,asset_tags,idx_asset_tags_asset_id,CREATE INDEX idx_asset_tags_asset_id ON public.asset_tags USING btree (asset_id),False,False,True,True,False,False,1,1,False,,44449792,4,52,52,2026-09-02 08:50:28.441875-04
public,style_guide_files,idx_style_guide_files_filename_trgm,CREATE INDEX idx_style_guide_files_filename_trgm ON public.style_guide_files USING gin (lower(filename) extensions.gin_trgm_ops),False,False,True,True,False,True,1,1,False,,43712512,609,4146845,0,2026-09-04 00:00:20.491838-04
plm,dcp_metadata_asset,dcp_metadata_asset_success_key,"CREATE UNIQUE INDEX dcp_metadata_asset_success_key ON plm.dcp_metadata_asset USING btree (metadata_run_id, dcp_asset_id, fetch_status)",True,False,True,True,False,False,3,3,True,f,40992768,0,0,0,
plm,dcp_metadata_asset,dcp_metadata_asset_success_key,"CREATE UNIQUE INDEX dcp_metadata_asset_success_key ON plm.dcp_metadata_asset USING btree (metadata_run_id, dcp_asset_id, fetch_status)",True,False,True,True,False,False,3,3,True,u,40992768,0,0,0,
plm,dcp_metadata_asset,dcp_metadata_asset_success_key,"CREATE UNIQUE INDEX dcp_metadata_asset_success_key ON plm.dcp_metadata_asset USING btree (metadata_run_id, dcp_asset_id, fetch_status)",True,False,True,True,False,False,3,3,True,f,40992768,0,0,0,
plm,dcp_metadata_asset,dcp_metadata_asset_success_key,"CREATE UNIQUE INDEX dcp_metadata_asset_success_key ON plm.dcp_metadata_asset USING btree (metadata_run_id, dcp_asset_id, fetch_status)",True,False,True,True,False,False,3,3,True,f,40992768,0,0,0,
public,assets,idx_assets_ai_tag_untagged_candidates,"CREATE INDEX idx_assets_ai_tag_untagged_candidates ON public.assets USING btree (primary_sort_tier, id) INCLUDE (thumbnail_url, filename, relative_path, style_group_id) WHERE ((is_deleted = false) AND (thumbnail_url IS NOT NULL) AND (primary_sort_tier <> ALL (ARRAY[4, 8])) AND (status <> 'tagged'::asset_status))",False,False,True,True,True,False,2,6,False,,40960000,20,398771,266831,2026-09-03 08:56:58.860258-04
public,asset_tags,idx_asset_tags_source,CREATE INDEX idx_asset_tags_source ON public.asset_tags USING btree (source),False,False,True,True,False,False,1,1,False,,39174144,3,4350092,79675,2026-09-04 17:28:49.238317-04
plm,wwe_asset_tag,wwe_asset_tag_pkey,"CREATE UNIQUE INDEX wwe_asset_tag_pkey ON plm.wwe_asset_tag USING btree (capture_id, asset_source_id, tag_source_key)",True,True,True,True,False,False,3,3,True,p,36249600,200271,0,0,2026-08-30 12:21:03.645318-04
