licensor,style_guide,characters,decision_status,suggested_existing_mg06_code,suggested_existing_mg06_desc,decision_basis,folder_property,folder_leaf_match,folder_confidence,fuzzy_mg06_code,fuzzy_mg06_desc,fuzzy_confidence,final_mg06_code
Dis/Mrv/SW,Wall-E,1,NEEDS_REVIEW,,,,Pixar,WALL-E_-Product-Development-Style-Guide-07-Jun-15-obj0b01d6368003ce23-FULL,55%,,,,
Dis/Mrv/SW,Wish,1,ACCEPTED_CLEAR_MG06,WS,DISNEY'S WISH,Strong existing MG06 name match (70% or higher),,,,WS,DISNEY'S WISH,70%,WS
Dis/Mrv/SW,Wizards of Waverly Place,8,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Wreck-It Ralph 2,1,NEEDS_REVIEW,,,,,,,T7,IT 2017,63%,
Marvel,Avengers,103,ACCEPTED_CLEAR_MG06,AV,AVENGERS GROUP,Strong existing MG06 name match (70% or higher),Avengers,,100%,AV,AVENGERS GROUP,84%,AV
Marvel,Fantastic Four,38,ACCEPTED_CLEAR_MG06,FFF,FANTASTIC FOUR: THE FIRST STEPS MOVIE 25,Strong existing MG06 name match (70% or higher),Theatrical Releases,The Fantastic Four - First Steps,70%,FFF,FANTASTIC FOUR: THE FIRST STEPS MOVIE 25,76%,FFF
Marvel,Fantastic Four Movie - No Likeness,7,ACCEPTED_CLEAR_MG06,FFF,FANTASTIC FOUR: THE FIRST STEPS MOVIE 25,Strong existing MG06 name match (70% or higher),Theatrical Releases,The Fantastic Four - First Steps,40%,FFF,FANTASTIC FOUR: THE FIRST STEPS MOVIE 25,70%,FFF
Marvel,Fantastic Four Movie - With Likeness,7,ACCEPTED_CLEAR_MG06,FFF,FANTASTIC FOUR: THE FIRST STEPS MOVIE 25,Strong existing MG06 name match (70% or higher),Theatrical Releases,The Fantastic Four - First Steps,40%,FFF,FANTASTIC FOUR: THE FIRST STEPS MOVIE 25,70%,FFF
Marvel,Marvel Comics (Retro),911,NEEDS_REVIEW,,,,Style Guide - Opportunity,Marvel Comics,77%,MG,MARVEL RETRO GROUP,50%,
Marvel,Marvel Cross-Franchise Art Packs,271,NEEDS_REVIEW,,,,Style Guide - Evergreen Priorities,Marvel Cross-Franchise,80%,,,,
Marvel,Marvel Games,175,NEEDS_REVIEW,,,,,,,CM,CAPTAIN MARVEL,33%,
Marvel,Marvel Seasonal,91,NEEDS_REVIEW,,,,Marvel Universe Publishing Art Archive,,70%,CM,CAPTAIN MARVEL,33%,
Marvel,Marvel Studios Collection - No Likeness,126,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios: The Infinity Saga - No Likeness,142,NEEDS_REVIEW,,,,Theatrical Releases,Infinity Saga logos,40%,,,,
Marvel,Marvel Studios: The Infinity Saga - With Likeness,88,NEEDS_REVIEW,,,,Theatrical Releases,Infinity Saga logos,40%,,,,
Marvel,Marvel Studios' Ant-Man Wasp Quantumania - No Likeness,19,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Ant-Man Wasp Quantumania - With Likeness,11,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Avengers Doomsday - No Likeness,33,NEEDS_REVIEW,,,,Theatrical Releases,Avengers Doomsday,70%,,,,
Marvel,Marvel Studios' Avengers Doomsday - With Likeness,1,NEEDS_REVIEW,,,,Theatrical Releases,Avengers Doomsday,70%,,,,
Marvel,Marvel Studios' Avengers Secret Wars - No Likeness,5,NEEDS_REVIEW,,,,Avengers,,58%,,,,
Marvel,Marvel Studios' Avengers Secret Wars - With Likeness,1,NEEDS_REVIEW,,,,Avengers,,58%,,,,
Marvel,Marvel Studios' Captain Marvel 2 - No Likeness,24,ACCEPTED_CLEAR_MG06,CM,CAPTAIN MARVEL,Strong existing MG06 name match (70% or higher),,,,CM,CAPTAIN MARVEL,77%,CM
Marvel,Marvel Studios' Captain Marvel 2 - With Likeness,6,ACCEPTED_CLEAR_MG06,CM,CAPTAIN MARVEL,Strong existing MG06 name match (70% or higher),,,,CM,CAPTAIN MARVEL,77%,CM
Marvel,Marvel Studios' Deadpool Movie 3 - No Likeness,28,NEEDS_REVIEW,,,,Theatrical Releases,Deadpool 3,60%,DP,DEADPOOL,60%,
Marvel,Marvel Studios' Deadpool Movie 3 - With Likeness,6,NEEDS_REVIEW,,,,Theatrical Releases,Deadpool 3,60%,DP,DEADPOOL,60%,
Marvel,Marvel Studios' Fantastic Four - No Likeness,16,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Fantastic Four - With Likeness,4,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' GOTG Vol. 3 - No Likeness,15,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' GOTG Vol. 3 - With Likeness,11,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Thunderbolts - No Likeness,12,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Thunderbolts - With Likeness,1,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Universe,1041,NEEDS_REVIEW,,,,Marvel Universe Publishing Art Archive,,100%,CM,CAPTAIN MARVEL,33%,
Marvel,Marvel's Moon Girl and Devil Dinosaur,6,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel's Spidey and His Amazing Friends,40,NEEDS_REVIEW,,,,Style Guide - Evergreen Priorities,Spidey and Friends,66%,SX,SPIDEY & FRIENDS,66%,
Marvel,Marvels' Blade Movie - No Likeness,3,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvels' Blade Movie - With Likeness,1,NEEDS_REVIEW,,,,,,,,,,
Marvel,MS Captain America New World Order - No Likeness,6,NEEDS_REVIEW,,,,,,,CA,CAPTAIN AMERICA,63%,
Marvel,MS Captain America New World Order - With Likeness,1,NEEDS_REVIEW,,,,,,,CA,CAPTAIN AMERICA,63%,
WB,Black Adam (2022),10,NEEDS_REVIEW,,,,,,,BP,BLACK PANTHER,33%,
WB,Blue Beetle (2023),11,NEEDS_REVIEW,,,,,,,,,,
WB,"Conjuring 2, The (2016)",8,ACCEPTED_CLEAR_MG06,C3,THE CONJURING 2013,Strong existing MG06 name match (70% or higher),WB Horror,Conjuring,100%,C3,THE CONJURING 2013,100%,C3
WB,"Conjuring 3: The Devil Made Me Do It, The (2021)",7,ACCEPTED_CLEAR_MG06,C1,THE CONJURING 3: THE DEVIL MADE ME DO IT,Strong existing MG06 name match (70% or higher),WB Horror,IT,57%,C1,THE CONJURING 3: THE DEVIL MADE ME DO IT,100%,C1
WB,"Conjuring, The (2013)",16,ACCEPTED_CLEAR_MG06,C3,THE CONJURING 2013,Strong existing MG06 name match (70% or higher),WB Horror,Conjuring,100%,C3,THE CONJURING 2013,100%,C3
WB,Cyborg Core,1,NEEDS_REVIEW,,,,,,,,,,
WB,"Dark Knight Rises, The (2012)",15,NEEDS_REVIEW,,,,,,,,,,
WB,"Dark Knight, The (2008)",25,NEEDS_REVIEW,,,,,,,DM,DARK MARK,33%,
WB,DC League of Super-Pets (2022),16,NEEDS_REVIEW,,,,DC,,60%,,,,
WB,DC Super Friends Collection Comics,55,NEEDS_REVIEW,,,,Friends,,58%,FN,FRIENDS,58%,
WB,DC Super Hero Girls: Animated Series,68,NEEDS_REVIEW,,,,DC,DC Super Hero Girls,77%,,,,
WB,DC Women Core,12,NEEDS_REVIEW,,,,DC,,70%,,,,
WB,"Exorcist, The (1973) ",2,ACCEPTED_CLEAR_MG06,EX,THE EXORCIST,Strong existing MG06 name match (70% or higher),WB Horror,The Exorcist,100%,EX,THE EXORCIST,100%,EX
WB,Fantastic Beasts and Where To Find Them (2016),26,NEEDS_REVIEW,,,,,,,,,,
WB,Fantastic Beasts: The Crimes of Grindelwald (2018),17,NEEDS_REVIEW,,,,,,,,,,
WB,Fantastic Beasts: The Secrets of Dumbledore (2022),20,NEEDS_REVIEW,,,,,,,DD,DUMBLEDORE,60%,
WB,"Flash Core, The",15,ACCEPTED_CLEAR_MG06,FS,THE FLASH,Strong existing MG06 name match (70% or higher),DC,Flash,100%,FS,THE FLASH,70%,FS
WB,"Flash, The (2023)",10,ACCEPTED_CLEAR_MG06,FS,THE FLASH,Strong existing MG06 name match (70% or higher),DC,Flash,100%,FS,THE FLASH,100%,FS
WB,Gokko x DC,1,NEEDS_REVIEW,,,,DC,,70%,,,,
WB,Gokko x Looney Tunes,1,ACCEPTED_CLEAR_MG06,LT,LOONEY TUNES,Strong existing MG06 name match (70% or higher),Looney Tunes,,77%,LT,LOONEY TUNES,77%,LT
WB,"Gokko x Powerpuff Girls, The",1,ACCEPTED_CLEAR_MG06,PW,POWERPUFF GIRLS,Strong existing MG06 name match (70% or higher),PowerPuff Girls,,77%,PW,POWERPUFF GIRLS,77%,PW
WB,Gokko x Scooby-Doo,1,NEEDS_REVIEW,,,,Scooby-Doo,,77%,,,,
WB,Gokko x Tom and Jerry,1,ACCEPTED_CLEAR_MG06,TJ,TOM & JERRY,Strong existing MG06 name match (70% or higher),Tom and Jerry,,77%,TJ,TOM & JERRY,77%,TJ
WB,"Goonies, The (1985)",14,NEEDS_REVIEW,,,,The Goonies,,100%,,,,
WB,Gotham Knights: Video Game,10,NEEDS_REVIEW,,,,,,,,,,
WB,Gremlins (1984),7,NEEDS_REVIEW,,,,Gremlins,,100%,,,,
WB,Gremlins 2: The New Batch (1990),10,NEEDS_REVIEW,,,,Gremlins,,63%,,,,
WB,"Hobbit, The: An Unexpected Journey (2012)",48,NEEDS_REVIEW,,,,,,,,,,
WB,"Hobbit, The: The Battle of the Five Armies (2014)",39,NEEDS_REVIEW,,,,,,,,,,
WB,"Hobbit, The: The Desolation of Smaug (2013)",43,NEEDS_REVIEW,,,,LOTR The Hobbit,The Hobbit - The Desolation of Smaug,100%,,,,
WB,House of the Dragon: Television Series,34,NEEDS_REVIEW,,,,House of the Dragon,,70%,T0,IT 1990 TELEVISION SERIES,40%,
WB,Infinite Crisis: Video Game,25,NEEDS_REVIEW,,,,,,,,,,
WB,Injustice 2: Every Battle Defines You: Video Game,1,NEEDS_REVIEW,,,,,,,,,,
WB,Injustice: Gods Among Us: Video Game,30,NEEDS_REVIEW,,,,,,,,,,
WB,IT (1990): Television Miniseries,2,NEEDS_REVIEW,,,,WB Horror,IT,63%,T7,IT 2017,63%,
WB,IT: Welcome to Derry: Television Series,16,ACCEPTED_CLEAR_MG06,WD,WELCOME TO DERRY: TELEVISION SERIES,Strong existing MG06 name match (70% or higher),WB Horror,IT,57%,WD,WELCOME TO DERRY: TELEVISION SERIES,83%,WD
WB,"Lost Boys, The (1987) ",20,ACCEPTED_CLEAR_MG06,LB,THE LOST BOYS,Strong existing MG06 name match (70% or higher),WB Horror,The Lost Boys,100%,LB,THE LOST BOYS,100%,LB
WB,"Matrix Reloaded, The (2003) ",24,NEEDS_REVIEW,,,,,,,,,,
WB,"Matrix Resurrections, The (2022)",10,NEEDS_REVIEW,,,,,,,,,,
WB,"Matrix Revolutions, The (2003) ",22,NEEDS_REVIEW,,,,,,,,,,
WB,"Matrix, The (1999)",10,NEEDS_REVIEW,,,,,,,,,,
WB,Multiple Licensed Properties,2,NEEDS_REVIEW,,,,,,,,,,
WB,"Nun 2, The (2023)",7,ACCEPTED_CLEAR_MG06,N3,THE NUN 2 2023,Strong existing MG06 name match (70% or higher),,,,N3,THE NUN 2 2023,100%,N3
WB,"Nun, The (2018)",2,ACCEPTED_CLEAR_MG06,N3,THE NUN 2 2023,Strong existing MG06 name match (70% or higher),,,,N3,THE NUN 2 2023,100%,N3
WB,Peacemaker: Television Series,7,NEEDS_REVIEW,,,,Gilmore Girls,Gilmore Girls Style Guide-Gilmore Girls_ Television Series,40%,T0,IT 1990 TELEVISION SERIES,50%,
WB,Rick and Morty: Animated Series,112,ACCEPTED_CLEAR_MG06,RK,RICK & MORTY,Strong existing MG06 name match (70% or higher),Rick and Morty,,70%,RK,RICK & MORTY,70%,RK
WB,SCOOB (2020),22,NEEDS_REVIEW,,,,,,,,,,
WB,Scooby-Doo Core,63,NEEDS_REVIEW,,,,Scooby-Doo,,100%,,,,
WB,Shazam! (2019),17,NEEDS_REVIEW,,,,,,,,,,
WB,Shazam!: Fury of the Gods (2023),19,NEEDS_REVIEW,,,,,,,,,,
WB,Suicide Squad (2016),13,NEEDS_REVIEW,,,,,,,,,,
WB,"Suicide Squad, The (2021)",34,NEEDS_REVIEW,,,,,,,,,,
WB,Suicide Squad: Kill the Justice League: Video Game,1,NEEDS_REVIEW,,,,DC,Justice League,61%,JG,JUSTICE LEAGUE,61%,
WB,Teen Titans Go!: Animated Series,32,NEEDS_REVIEW,,,,,,,,,,
WB,WB 100: Art of the 100th,1,NEEDS_REVIEW,,,,WB 100,,77%,,,,
