character,legacy_licensor_id,appearances,candidate_codes,style_guides,reason,chosen_mg06_code
Hellion,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Hepzibah,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Karma,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Kid Omega,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Lady Deathstrike,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Lilandra,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Living Mummy,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Logan,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
M`Baku,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Moira MacTaggert,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Marrow,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Master Mold,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Mastermind,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Menace,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
