styleGuide,characterName,identityName,metadata
Batman 85th Mash Ups,Batmobile (Batman Beyond 1999),BATMOBILE,"{""source_character_name"":""Batmobile (Batman Beyond 1999)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""8e2b3988-7652-42f9-aa42-22e06b1c26ae"",""rendition"":{""title_year"":""Batman Beyond 1999""},""rendition_description"":""Batman Beyond 1999""}"
Batman 85th Mash Ups,Batmobile (Batman Forever 1995),BATMOBILE,"{""source_character_name"":""Batmobile (Batman Forever 1995)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""f5a8f200-affe-4cbc-a54c-e1afd8043290"",""rendition"":{""title_year"":""Batman Forever 1995""},""rendition_description"":""Batman Forever 1995""}"
Batman 85th Mash Ups,Batmobile (Batman Returns 1992),BATMOBILE,"{""source_character_name"":""Batmobile (Batman Returns 1992)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""cb4108b2-d55c-4f45-b126-8bc7b8052ab9"",""rendition"":{""title_year"":""Batman Returns 1992""},""rendition_description"":""Batman Returns 1992""}"
Batman 85th Mash Ups,Batmobile (Batman vs Superman 2016),BATMOBILE,"{""source_character_name"":""Batmobile (Batman vs Superman 2016)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""0f1143a2-bbd7-4466-97e9-8ce07962367c"",""rendition"":{""title_year"":""Batman vs Superman 2016""},""rendition_description"":""Batman vs Superman 2016""}"
Batman 85th Mash Ups,Batmobile (Batman: The Animated Series 1992),BATMOBILE,"{""source_character_name"":""Batmobile (Batman: The Animated Series 1992)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""90e789aa-1f68-4825-af36-f11a898632fb"",""rendition"":{""title_year"":""Batman: The Animated Series 1992""},""rendition_description"":""Batman: The Animated Series 1992""}"
Batman 85th Mash Ups,Batmobile (The Batman 2022),BATMOBILE,"{""source_character_name"":""Batmobile (The Batman 2022)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""d8f2d515-758b-4083-82bf-de54ed713bd2"",""rendition"":{""title_year"":""The Batman 2022""},""rendition_description"":""The Batman 2022""}"
Batman 85th Mash Ups,No Reportable Elements (Batman & Robin 1997),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman & Robin 1997)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""b6ac7239-38c0-4404-913d-c2cc0f42c3f8"",""rendition"":{""title_year"":""Batman & Robin 1997""},""rendition_description"":""Batman & Robin 1997""}"
Batman 85th Mash Ups,No Reportable Elements (Batman 1989),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman 1989)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""9c097a69-aa59-4561-b2e8-ffe99c998836"",""rendition"":{""title_year"":""Batman 1989""},""rendition_description"":""Batman 1989""}"
Batman 85th Mash Ups,No Reportable Elements (Batman Begins 2005),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman Begins 2005)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""dfa9c0b0-53bf-406a-b556-dda45cdd8d1c"",""rendition"":{""title_year"":""Batman Begins 2005""},""rendition_description"":""Batman Begins 2005""}"
Batman 85th Mash Ups,No Reportable Elements (Batman Beyond 1999),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman Beyond 1999)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""76c6222f-04f7-4bc1-9620-cbc024807612"",""rendition"":{""title_year"":""Batman Beyond 1999""},""rendition_description"":""Batman Beyond 1999""}"
Batman 85th Mash Ups,No Reportable Elements (Batman Forever 1995),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman Forever 1995)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""e2bf74af-5177-419f-ac85-466eeb45883e"",""rendition"":{""title_year"":""Batman Forever 1995""},""rendition_description"":""Batman Forever 1995""}"
Batman 85th Mash Ups,No Reportable Elements (Batman Returns 1992),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman Returns 1992)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""ba53c5b1-0ef7-4423-9740-a67540c3adba"",""rendition"":{""title_year"":""Batman Returns 1992""},""rendition_description"":""Batman Returns 1992""}"
Batman 85th Mash Ups,No Reportable Elements (Batman vs Superman 2016),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman vs Superman 2016)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""40f6a12d-fd25-4766-8a6a-545232ddad1d"",""rendition"":{""title_year"":""Batman vs Superman 2016""},""rendition_description"":""Batman vs Superman 2016""}"
Batman 85th Mash Ups,No Reportable Elements (Batman: The Animated Series 1992),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Batman: The Animated Series 1992)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""911e0b3e-06e6-4cb0-aa99-84e3759777de"",""rendition"":{""title_year"":""Batman: The Animated Series 1992""},""rendition_description"":""Batman: The Animated Series 1992""}"
Batman 85th Mash Ups,No Reportable Elements (Dark Knight Rises 2012),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (Dark Knight Rises 2012)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""947a1953-5140-474c-9fad-02b2a47242b3"",""rendition"":{""title_year"":""Dark Knight Rises 2012""},""rendition_description"":""Dark Knight Rises 2012""}"
Batman 85th Mash Ups,No Reportable Elements (The Batman 2022),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (The Batman 2022)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""6fd71b5b-c952-4b00-b6cd-83fa36b37b27"",""rendition"":{""title_year"":""The Batman 2022""},""rendition_description"":""The Batman 2022""}"
Batman 85th Mash Ups,No Reportable Elements (The Dark Knight 2008),No Reportable Elements,"{""source_character_name"":""No Reportable Elements (The Dark Knight 2008)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""5eda52dc-94aa-4dd2-996f-6dd7e6448b21"",""rendition"":{""title_year"":""The Dark Knight 2008""},""rendition_description"":""The Dark Knight 2008""}"
Batman Begins (2005),Alfred As Portrayed By Michael Caine,ALFRED,"{""source_character_name"":""Alfred As Portrayed By Michael Caine"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""045dff71-67aa-4d06-8888-3fb5806477e1"",""rendition"":{""portrayed_by"":""Michael Caine""},""rendition_description"":""as portrayed by Michael Caine""}"
Batman Begins (2005),Batman aka Bruce Wayne as portrayed by Christian Bale,Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Christian Bale"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""00fd022d-28ba-4b04-8ef5-4817aa6412d1"",""rendition"":{""portrayed_by"":""Christian Bale""},""rendition_description"":""as portrayed by Christian Bale""}"
Batman Begins (2005),Batman As Portrayed By Christian Bale,BATMAN,"{""source_character_name"":""Batman As Portrayed By Christian Bale"",""identity_rules"":[""STRIP_PORTRAYAL"",""BARE_PRIMARY_KEPT""],""source_character_id"":""cb22f4af-b140-461a-8d14-9c11fa2337e1"",""rendition"":{""portrayed_by"":""Christian Bale""},""rendition_description"":""as portrayed by Christian Bale""}"
Batman Begins (2005),Commissioner Gordan As Portrayed By Gary Oldman,Commissioner Gordan,"{""source_character_name"":""Commissioner Gordan As Portrayed By Gary Oldman"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""07d01e5a-f955-4499-a107-98d008b09de1"",""rendition"":{""portrayed_by"":""Gary Oldman""},""rendition_description"":""as portrayed by Gary Oldman""}"
Batman Begins (2005),Crane As Portrayed By Cillian Murphy,Crane,"{""source_character_name"":""Crane As Portrayed By Cillian Murphy"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""52cb2bf7-2587-40b8-a63d-9f23fe878f0c"",""rendition"":{""portrayed_by"":""Cillian Murphy""},""rendition_description"":""as portrayed by Cillian Murphy""}"
Batman Begins (2005),Earle As Portrayed By Rutger Hauer,Earle,"{""source_character_name"":""Earle As Portrayed By Rutger Hauer"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""305541cb-fc14-4a7c-8488-579a4292addc"",""rendition"":{""portrayed_by"":""Rutger Hauer""},""rendition_description"":""as portrayed by Rutger Hauer""}"
Batman Begins (2005),Falconi As Portrayed By Tom Wilkinson,Falconi,"{""source_character_name"":""Falconi As Portrayed By Tom Wilkinson"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""9a14264d-3b4d-4528-95d8-fbe2ed6116b1"",""rendition"":{""portrayed_by"":""Tom Wilkinson""},""rendition_description"":""as portrayed by Tom Wilkinson""}"
Batman Begins (2005),Flass As Portrayed By Mark Boone Jr.,Flass,"{""source_character_name"":""Flass As Portrayed By Mark Boone Jr."",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""15b07fc9-78d2-4c4d-8dcc-57ca225d9345"",""rendition"":{""portrayed_by"":""Mark Boone Jr.""},""rendition_description"":""as portrayed by Mark Boone Jr.""}"
Batman Begins (2005),Fox As Portrayed By Morgan Freeman,Fox,"{""source_character_name"":""Fox As Portrayed By Morgan Freeman"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""b3a2461c-e6fb-4bd9-8fac-fe7ba36a94e3"",""rendition"":{""portrayed_by"":""Morgan Freeman""},""rendition_description"":""as portrayed by Morgan Freeman""}"
Batman Begins (2005),Henri Ducard As Portrayed By Liam Neeson,Henri Ducard,"{""source_character_name"":""Henri Ducard As Portrayed By Liam Neeson"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""7dcc47e1-ead6-4e6c-84a4-04dfe5c64ad4"",""rendition"":{""portrayed_by"":""Liam Neeson""},""rendition_description"":""as portrayed by Liam Neeson""}"
Batman Begins (2005),Rachel Dawes As Portrayed By Katie Holmes,Rachel Dawes,"{""source_character_name"":""Rachel Dawes As Portrayed By Katie Holmes"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""058d6e15-9e1e-43d0-b9da-c6001c0d0d2e"",""rendition"":{""portrayed_by"":""Katie Holmes""},""rendition_description"":""as portrayed by Katie Holmes""}"
Batman Begins (2005),Ras Al Ghul As Portrayed By Ken Watanabe,Ras Al Ghul,"{""source_character_name"":""Ras Al Ghul As Portrayed By Ken Watanabe"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""1cf6c491-280e-4dbf-a515-689b814ce44f"",""rendition"":{""portrayed_by"":""Ken Watanabe""},""rendition_description"":""as portrayed by Ken Watanabe""}"
Batman Begins (2005),Thomas Wayne As Portrayed By Linus Roache,Thomas Wayne,"{""source_character_name"":""Thomas Wayne As Portrayed By Linus Roache"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""39798f90-611b-4672-9044-9417f41450e7"",""rendition"":{""portrayed_by"":""Linus Roache""},""rendition_description"":""as portrayed by Linus Roache""}"
Batman Begins (2005),Young Bruce Wayne As Portrayed By Gus Lewis,Young Bruce Wayne,"{""source_character_name"":""Young Bruce Wayne As Portrayed By Gus Lewis"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""5eaf5a33-4cda-4a22-ab51-765708359f94"",""rendition"":{""portrayed_by"":""Gus Lewis""},""rendition_description"":""as portrayed by Gus Lewis""}"
Batman Beyond: Animated Series ,Man-Bat aka Kirk Langstrom,Man-Bat,"{""source_character_name"":""Man-Bat aka Kirk Langstrom"",""identity_rules"":[""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""6db2a275-40c1-4a49-b7c4-d7d2e2b7930a"",""rendition"":{""alias"":""Kirk Langstrom""},""rendition_description"":""aka Kirk Langstrom""}"
Batman Core,Azrael aka Jean Paul Valley,Azrael,"{""source_character_name"":""Azrael aka Jean Paul Valley"",""identity_rules"":[""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""99f3b44e-ff20-48c6-82b9-01fce6c47179"",""rendition"":{""alias"":""Jean Paul Valley""},""rendition_description"":""aka Jean Paul Valley""}"
Batman Core,Blackfire aka Komand`r,Blackfire,"{""source_character_name"":""Blackfire aka Komand`r"",""identity_rules"":[""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""7380aa84-0cd0-469c-be93-d1c85ca24ab7"",""rendition"":{""alias"":""Komand`r""},""rendition_description"":""aka Komand`r""}"
Batman Core,Bronze Tiger aka Ben Turner,Bronze Tiger,"{""source_character_name"":""Bronze Tiger aka Ben Turner"",""identity_rules"":[""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""9aceaeee-b45f-4504-97a5-63312ca19ec1"",""rendition"":{""alias"":""Ben Turner""},""rendition_description"":""aka Ben Turner""}"
Batman Core,Commissioner Gordon aka Jim Gordon aka James Gordon,COMMISSIONER GORDON,"{""source_character_name"":""Commissioner Gordon aka Jim Gordon aka James Gordon"",""identity_rules"":[""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""bd61e1e1-c946-403d-8e3c-0be0eea487c2"",""rendition"":{""alias"":""Jim Gordon aka James Gordon""},""rendition_description"":""aka Jim Gordon aka James Gordon""}"
Batman Core,Commissioner Gordon aka Jim Gordon aka James Gordon,COMMISSIONER GORDON,"{""source_character_name"":""Commissioner Gordon aka Jim Gordon aka James Gordon"",""identity_rules"":[""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""bb4c6485-219f-462a-84b4-ffd96fec323b"",""rendition"":{""alias"":""Jim Gordon aka James Gordon""},""rendition_description"":""aka Jim Gordon aka James Gordon""}"
Batman Core,Commissioner Gordon aka Jim Gordon aka James Gordon,COMMISSIONER GORDON,"{""source_character_name"":""Commissioner Gordon aka Jim Gordon aka James Gordon"",""identity_rules"":[""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""6519ca80-a59f-46b4-a19c-80adb38361b3"",""rendition"":{""alias"":""Jim Gordon aka James Gordon""},""rendition_description"":""aka Jim Gordon aka James Gordon""}"
