licenselist_code,universe_b_id,universe_b_name,universe_b_source_key,portal,portal_label,portal_source_id
NU,10313,"KUNG FU PANDA",2250d73c-883a-41e3-ab95-c0f444cec298,NBCU Creative Asset Factory,"KUNG FU PANDA",3417
NU,10314,"KUNG FU PANDA 2",b175e8b6-5d68-4eeb-aea9-7e150abb4902,NBCU Creative Asset Factory,"KUNG FU PANDA 2",3425
NU,10315,"KUNG FU PANDA 3",7952e48e-37d1-408a-aaeb-eb8249fb77c4,NBCU Creative Asset Factory,"KUNG FU PANDA 3",3430
NU,10316,"KUNG FU PANDA 4",ba4be5f1-195d-4c0e-95a9-d9c8700a2280,NBCU Creative Asset Factory,"Kung Fu Panda 4",6226
NU,10317,"KUNG FU PANDA FRANCHISE ASSET",f4308469-bbf2-46aa-aaa0-4059a9e95494,NBCU Creative Asset Factory,"KUNG FU PANDA FRANCHISE ASSET",3469
NU,10318,"LAMB CHOP - LITERARY",8df6affc-3b48-4c1c-b7bb-1fa035234fd5,NBCU Creative Asset Factory,"LAMB CHOP - LITERARY",3811
NU,10319,"LASSIE",5a9e981f-21cf-4800-b995-83b4a580774d,NBCU Creative Asset Factory,"LASSIE",3747
NU,10320,"LONE RANGER - LITERARY",b7cdfc4a-d728-45f7-b7b9-52d7540bf6e9,NBCU Creative Asset Factory,"LONE RANGER  - LITERARY",3787
NU,10321,"MIGRATION",b7d0734c-8fb5-4e9e-aed2-6bf2b1d0678e,NBCU Creative Asset Factory,"MIGRATION",5545
NU,10322,"MINIONS",57b7db02-d5fd-4985-81ba-413741f7e8fd,NBCU Creative Asset Factory,"Minions",2576
NU,10323,"MINIONS 2: THE RISE OF GRU",7fe28a73-3b08-459b-93e2-bb0ce2993f1f,NBCU Creative Asset Factory,"MINIONS 2: THE RISE OF GRU",4147
NU,10324,"MINIONS 3",9cce4b57-2073-455c-ab11-c3c98b951673,NBCU Creative Asset Factory,"MINIONS 3",7506
NU,10325,"SANTA CLAUS IS COMIN' TO TOWN",2f488fc9-1624-409b-b625-3714c40b6d88,NBCU Creative Asset Factory,"SANTA CLAUS IS COMIN' TO TOWN",3647
NU,10326,"SCARFACE (1983)",e1440e50-3f61-407e-bc56-1ab26d77cab4,NBCU Creative Asset Factory,"Scarface (1983)",1088
NU,10327,"SCUFFY THE TUGBOAT (1947 LITTLE GOLDEN BOOK)",ae22427d-1c20-4e70-b5c0-3507297ac268,NBCU Creative Asset Factory,"SCUFFY THE TUGBOAT  (1947 LITTLE GOLDEN BOOK)",3768
NU,10328,"SEED OF CHUCKY",6664f3a2-bafe-4c93-a6a9-b65820cff51e,NBCU Creative Asset Factory,"SEED OF CHUCKY",1936
NU,10329,"SHREK",e32ed12d-04dd-4d00-a8eb-1676f2f14ee3,NBCU Creative Asset Factory,"SHREK",3413
NU,10330,"SHREK 2",874fa498-dcd0-4874-b803-332394169090,NBCU Creative Asset Factory,"SHREK 2",3416
NU,10331,"SHREK 5",e5dee0a9-97d9-4d8d-87ef-e6f8604b124b,NBCU Creative Asset Factory,"SHREK 5",7206
NU,10332,"SHREK FOREVER AFTER",992f87df-3a97-44a0-a6fa-6ddf7788e990,NBCU Creative Asset Factory,"SHREK FOREVER AFTER",3424
NU,10333,"SHREK FRANCHISE ASSET",38dbfb91-84ca-4608-a854-d9f848dfdcbb,NBCU Creative Asset Factory,"SHREK FRANCHISE ASSET",3475
NU,10334,"SHREK THE HALLS",70315617-47b9-4070-86b3-b3c498750435,NBCU Creative Asset Factory,"SHREK THE HALLS",3685
NU,10335,"SHREK THE THIRD",7ad3c259-beab-4f15-913f-c52c3568c162,NBCU Creative Asset Factory,"SHREK THE THIRD",3418
NU,10336,"SLAP SHOT",80ce56f8-246f-48db-8a13-48979dbcc48a,NBCU Creative Asset Factory,"SLAP SHOT",1462
NU,10337,"SLAP SHOT 2: BREAKING THE ICE",0c009389-c2ba-4383-bb16-7f7d2843362a,NBCU Creative Asset Factory,"SLAP SHOT 2: BREAKING THE ICE",1870
NU,10338,"SLAP SHOT 3: THE JUNIOR LEAGUE",20a7b323-3419-4db5-9dbf-612f3b32adaf,NBCU Creative Asset Factory,"SLAP SHOT 3:  THE JUNIOR LEAGUE",3328
NU,10339,"TAWNY SCRAWNY LION (1952 LITTLE GOLDEN BOOK)",45e9ccca-bab4-48f8-977e-546c02c8ef26,NBCU Creative Asset Factory,"TAWNY SCRAWNY LION  (1952 LITTLE GOLDEN BOOK)",3770
NU,10340,"THE BIG LEBOWSKI",e88236db-9581-4e93-8d42-4641f846a9a9,NBCU Creative Asset Factory,"THE BIG LEBOWSKI",1527
NU,10341,"THE COLOR KITTENS (LITTLE GOLDEN BOOK)",f95bc17e-9157-4dd8-824c-353b798f4654,NBCU Creative Asset Factory,"THE COLOR KITTENS (LITTLE GOLDEN BOOK)",3774
NU,10342,"THE FAST AND THE FURIOUS",220bd4ea-6f85-4063-b13c-2cef551517b2,NBCU Creative Asset Factory,"THE FAST AND THE FURIOUS",1345
NU,10343,"THE FAST AND THE FURIOUS: TOKYO DRIFT",323fc0f0-b44f-41ff-a03f-179004bc6dbc,NBCU Creative Asset Factory,"THE FAST AND THE FURIOUS: TOKYO DRIFT",1924
NU,10344,"THE FATE OF THE FURIOUS",1ed40cc1-6162-4ec0-8127-19e745f83398,NBCU Creative Asset Factory,"THE FATE OF THE FURIOUS",3143
NU,10345,"THE FIRE ENGINE BOOK (LITTLE GOLDEN BOOK)",b217d843-16ff-4ef4-a862-8c2f7bef682c,NBCU Creative Asset Factory,"THE FIRE ENGINE BOOK (LITTLE GOLDEN BOOK)",3781
NU,10346,"THE FUZZY DUCKLING (1949 LITTLE GOLDEN BOOK)",45b18cdc-5ac0-4086-935c-1cabad33ddca,NBCU Creative Asset Factory,"THE FUZZY DUCKLING (1949 LITTLE GOLDEN BOOK)",3805
NU,10347,"THE HAPPY LITTLE WHALE (1960 LITTLE GOLDEN BOOK)",15496407-3365-4eae-ac8e-4920c0129d05,NBCU Creative Asset Factory,"THE HAPPY LITTLE WHALE (1960 LITTLE GOLDEN BOOK)",3806
NU,10348,"THE HAPPY MAN AND HIS DUMP TRUCK (1950 LITTLE GOLDEN BOOK)",5c6e10d6-55fb-49e0-b0ea-584da7a79238,NBCU Creative Asset Factory,"THE HAPPY MAN AND HIS DUMP TRUCK (1950 LITTLE GOLDEN BOOK)",3782
