"id","entity_type","finding_scope","company_code","division_code","mg_type_code","mg_code","source_name","proposed_licensor_id","proposed_property_id","match_method","confidence","reason","evidence","status","resolution","created_at","updated_at"
"2b0b5cea-b2e9-401d-8cb4-7e8b65ca51f4","property","source","EDGEHOME","SP001","06","FK","FRIDA KAHLO",,,"cross_entity_code","none","mgCode FK appears as both a licensor (FRIDA KAHLO) and a property (FRIDA KAHLO) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""FRIDA KAHLO"",""property_name"":""FRIDA KAHLO"",""licensor_mg_code"":""FK"",""property_mg_code"":""FK"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"7934abb4-db13-4ef1-8bf3-87cb0b241dfa","property","source","EDGEHOME","SP001","06","HP","HARRY POTTER",,,"cross_entity_code","none","mgCode HP appears as both a licensor (HARRY POTTER) and a property (HARRY POTTER) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""HARRY POTTER"",""property_name"":""HARRY POTTER"",""licensor_mg_code"":""HP"",""property_mg_code"":""HP"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"a361ba32-ade5-4d54-bba5-73dffbd3b777","property","source","EDGEHOME","SP001","06","MV","MARVEL ASSORTED STYLES",,,"cross_entity_code","none","mgCode MV appears as both a licensor (MARVEL) and a property (MARVEL ASSORTED STYLES) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""MARVEL"",""property_name"":""MARVEL ASSORTED STYLES"",""licensor_mg_code"":""MV"",""property_mg_code"":""MV"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"18d27901-a0c5-48f2-b91f-b21a0302811a","property","source","EDGEHOME","SP001","06","PN","DISNEY PRINCESSES",,,"cross_entity_code","none","mgCode PN appears as both a licensor (PEANUTS WORLDWIDE) and a property (DISNEY PRINCESSES) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""PEANUTS WORLDWIDE"",""property_name"":""DISNEY PRINCESSES"",""licensor_mg_code"":""PN"",""property_mg_code"":""PN"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"efa1a1cb-d4d3-45d8-853d-c450e2f55088","property","source","EDGEHOME","SP001","06","PP","PAW PATROL GROUP",,,"cross_entity_code","none","mgCode PP appears as both a licensor (PAW PATROL) and a property (PAW PATROL GROUP) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""PAW PATROL"",""property_name"":""PAW PATROL GROUP"",""licensor_mg_code"":""PP"",""property_mg_code"":""PP"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"517f0cb7-bfea-414d-934d-ca42b5397b95","property","source","EDGEHOME","SP001","06","SE","SPELLS",,,"cross_entity_code","none","mgCode SE appears as both a licensor (SEGA) and a property (SPELLS) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""SEGA"",""property_name"":""SPELLS"",""licensor_mg_code"":""SE"",""property_mg_code"":""SE"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"3f3addd3-de8f-4718-9e62-e137d00316b5","property","source","EDGEHOME","SP001","06","SM","SUPERMAN",,,"cross_entity_code","none","mgCode SM appears as both a licensor (SESAME STREET) and a property (SUPERMAN) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""SESAME STREET"",""property_name"":""SUPERMAN"",""licensor_mg_code"":""SM"",""property_mg_code"":""SM"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"2a3fd598-665d-465b-84cd-e53236c62554","property","source","EDGEHOME","SP001","06","SS","SHIMMER & SHINE",,,"cross_entity_code","none","mgCode SS appears as both a licensor (STRAWBERRY SHORTCAKE) and a property (SHIMMER & SHINE) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""STRAWBERRY SHORTCAKE"",""property_name"":""SHIMMER & SHINE"",""licensor_mg_code"":""SS"",""property_mg_code"":""SS"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"3ca01cc2-b9ce-4b2e-a749-78307fcd61c1","property","source","EDGEHOME","SP001","06","SW","STAR WARS GROUP",,,"cross_entity_code","none","mgCode SW appears as both a licensor (STAR WARS) and a property (STAR WARS GROUP) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""STAR WARS"",""property_name"":""STAR WARS GROUP"",""licensor_mg_code"":""SW"",""property_mg_code"":""SW"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"d72a9bb9-5195-4abe-9407-12db7054d456","property","source","EDGEHOME","SP001","06","WW","WONDER WOMAN",,,"cross_entity_code","none","mgCode WW appears as both a licensor (WWE) and a property (WONDER WOMAN) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""WWE"",""property_name"":""WONDER WOMAN"",""licensor_mg_code"":""WW"",""property_mg_code"":""WW"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
