"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","preserve_canonical_status","blocking_review","evidence","source_hash","first_seen_at","last_seen_at","last_sync_run_id","canonical_id","canonical_code","canonical_name","canonical_status"
"coldlion_source","licensor","EDGEHOME","CW001","05","VM","VIACOM MULTI","exact compatible code match","5f951f5e-aaee-4add-bb51-fea888951405","VM","VIACOM MULTI","active","yes","no","code and normalized name agree","ae61f4df16ceef244d7fd3f5051858db","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","WB","WARNER BROS","exact compatible code match","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active","yes","no","code and normalized name agree","527729cd9c3b4cc5f064f4649d3f7c26","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","WW","WWE","exact compatible code match","7575d1db-dbee-4336-84a9-aa378f05f105","WW","WWE","active","yes","no","code and normalized name agree","02026125cfc61d486d11babf494e9fbb","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","ZG","ZAG","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","51a9153001d5351d2e8bc3d8ce819c93","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","ZZ","DTR - NO LICENSE","exact compatible code match","80276015-a751-4438-8c25-759c8dd005b2","ZZ","DTR - NO LICENSE","active","yes","no","code and normalized name agree","550f3269b5aa32e401a9f4462378bdb3","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","1P","TOEI - ONE PIECE","exact compatible code match","f39fe07e-e438-46b2-9e17-fb711358e790","1P","TOEI - ONE PIECE","active","yes","no","code and normalized name agree","670ba4a1f577c054e1623503a38be944","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","AA","AARDMAN ANIMATIONS","exact compatible code match","e90c3124-e66d-404f-b777-0dae9a5ee4f3","AA","AARDMAN ANIMATIONS","active","yes","no","code and normalized name agree","31152d7231708b154b5f72c3b55b5eb2","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","CB","CARE BEARS","exact compatible code match","b96edc00-9261-46ec-af93-9de0f5b88d48","CB","CARE BEARS","active","yes","no","code and normalized name agree","3a1907a0561a5dea46f4dc5f159b41e9","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","CC","COCA COLA","exact compatible code match","c70e095c-2baf-404e-a2a3-c198a259a3e6","CC","COCA COLA","active","yes","no","code and normalized name agree","45dcb22d7605a1e2659053b9ff27310d","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","DC","DC","exact compatible code match","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","active","yes","no","code and normalized name agree","f454a2536c449cbac22e1981edd64276","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","DY","DISNEY","exact compatible code match","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","active","yes","no","code and normalized name agree","7c1dc74b718a68122f4f3b6d7a5c658f","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","FK","FRIDA KAHLO","entity-type collision",,,,,"","yes","no same-entity candidate; other-entity code=1; name=1","682033e46ca0aef50ffca0e222e6a0c8","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","HP","HARRY POTTER","exact compatible code match","ea61e3bb-37f2-4cef-a6f4-8aa314ea131f","HP","HARRY POTTER","active","yes","no","code and normalized name agree","5b4d12e0440eed5b2f871be44ebe27dc","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","MV","MARVEL","exact compatible code match","f143c083-2dfd-48b9-ac9b-43d2290a4e4c","MV","MARVEL","active","yes","no","code and normalized name agree","6e89e00c0e8a10cc24c115201e044c03","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","yes","yes","name is unique but code differs","e98623876a03f9a1499b1ce011df9add","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","NB","NBC","exact compatible code match","154bf54b-6f7d-4999-b0fb-c2828b12b56a","NB","NBC","active","yes","no","code and normalized name agree","9a29e9c761fdb8fd48e9323717d448d6","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","PN","PEANUTS WORLDWIDE","exact compatible code match","afff41a6-df31-4a9a-aea5-b919d1daff54","PN","PEANUTS WORLDWIDE","active","yes","no","code and normalized name agree","0e5453b3208c05c73671ec27d57566fa","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","PP","PAW PATROL","exact compatible code match","a03fff4b-65f4-4fd6-98ad-c9db3216b140","PP","PAW PATROL","active","yes","no","code and normalized name agree","9cbb7d19e798b9fe21788b4bd742489f","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","SE","SEGA","exact compatible code match","e5f1686c-700c-42f6-bbc6-98aaa9ce1634","SE","SEGA","active","yes","no","code and normalized name agree","ab727dcf2142a79e3d065056cc9a2c6a","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","SM","SESAME STREET","exact compatible code match","1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb","SM","SESAME STREET","active","yes","no","code and normalized name agree","a2b91d583d77cae33484d57864b63538","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","SS","STRAWBERRY SHORTCAKE","exact compatible code match","4dba7d87-54ed-4dee-894b-570326953d92","SS","STRAWBERRY SHORTCAKE","active","yes","no","code and normalized name agree","26e5bcbc0ecc90802d8e6f919a1fe2a9","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","SW","STAR WARS","exact compatible code match","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active","yes","no","code and normalized name agree","314ffdb5327bea013b81e5c80424dc58","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","VM","VIACOM MULTI","exact compatible code match","5f951f5e-aaee-4add-bb51-fea888951405","VM","VIACOM MULTI","active","yes","no","code and normalized name agree","fc4a5b0b25fd11ac058d8ea8ece64579","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","WB","WARNER BROS","exact compatible code match","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active","yes","no","code and normalized name agree","b55616927abd00f5b3e14126d368d4d1","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","WW","WWE","exact compatible code match","7575d1db-dbee-4336-84a9-aa378f05f105","WW","WWE","active","yes","no","code and normalized name agree","8084cd8f85ae7cdd3f36723ec8b88e27","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","ZG","ZAG","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","857e72d5fb150606aa5cd8daadb75771","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","ZZ","DTR - NO LICENSE","exact compatible code match","80276015-a751-4438-8c25-759c8dd005b2","ZZ","DTR - NO LICENSE","active","yes","no","code and normalized name agree","40e07c45112aa2098f9a46c1fe901224","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"2b2caddf-4fb0-4fc3-8245-ccd8f8177e48","FR","FRIENDS TV","active"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"50c74323-b494-4b7d-ab7a-5524a7cd2706","X-NCAA","NCAA","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"78a9fb9a-7bc2-4e5c-9fe4-53adf2253ea2","X-FORD","Ford","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"86d440d2-2ea8-4b14-add8-ca682a1c9434","X-MILLERCOORS","Miller Coors","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"b21801ce-9e2b-49bc-9ef7-b5697d48136d","X-NFL","NFL","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"d5854d24-8477-42ea-a090-18ed3275879a","X-ANHEUSERBUSCH","Anheuser Busch","potential"
