property,licensedPropertyID,optionSourceID,character,characterID,brandPropertyID
"Black Panther Movie 2 - No Likeness","1159103669","1007","Okoye ( Black Panther Movie 2 )","1159107951","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Ramonda ( Marvels Black Panther Movie 2 )","1159365403","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Ross, Everett ( Marvels Black Panther Movie 2 )","1159369326","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Shuri ( Black Panther Movie 2 )","1159107952","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Talokan ( Marvels Black Panther Movie 2 )","1159365373","1159103730"
"Black Panther Movie 2 - With Likeness","1159102820","1007","Black Panther ( Black Panther Movie 2 )","1159107950","1159103730"
"Black Panther Movie 2 - With Likeness","1159102820","1007","Black Panther Movie 2 - With Likeness","1159103970","1159103730"
"Black Panther Movie 2 - With Likeness","1159102820","1007","Okoye ( Black Panther Movie 2 )","1159107951","1159103730"
"Black Panther Movie 2 - With Likeness","1159102820","1007","Shuri ( Black Panther Movie 2 )","1159107952","1159103730"
"Black Swan","1159098788","1007","Black Swan","1159098659","1159098688"
"Black Widow Movie - No Likeness","1159096348","1007","Avengers Logo ( Black Widow Movie )","1159112612","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Black Widow ( Black Widow Movie )","1159152551","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Black Widow - Ensemble ( Black Widow Movie )","1159112611","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Black Widow Movie (General) ( Black Widow Movie )","1159096530","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Black Widow Movie - No Likeness ( Black Widow Movie )","1159096310","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Captain America ( Black Widow Movie )","1159152552","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Crimson Dynamo ( Black Widow Movie )","1159152553","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Crossbones ( Black Widow Movie )","1159152518","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","General Dreykov ( Black Widow Movie )","1159152554","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","General Family Character (Avengers) ( Black Widow Movie )","1159096529","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Iron Man ( Black Widow Movie )","1159152519","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Melina ( Black Widow Movie )","1159112613","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Red Guardian ( Black Widow Movie )","1159112616","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Spymaster ( Black Widow Movie )","1159152555","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Task Force ( Black Widow Movie )","1159112617","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Taskmaster ( Black Widow Movie )","1159112614","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Winter Soldier ( Black Widow Movie )","1159152556","1159096328"
"Black Widow Movie - No Likeness","1159096348","1007","Yelena ( Black Widow Movie )","1159112615","1159096328"
"Black Widow Movie - With Likeness","1159096568","1007","Black Widow Movie (General) ( Black Widow Movie )","1159096530","1159096328"
"Black Widow Movie - With Likeness","1159096568","1007","Black Widow Movie - With Likeness ( Black Widow Movie )","1159096311","1159096328"
"Black Widow Movie - With Likeness","1159096568","1007","General Family Character (Avengers) ( Black Widow Movie )","1159096529","1159096328"
"Black Widow Movie - With Likeness","1159096568","1007","Scarlett Johansson ( Black Widow Movie ) - With Likeness","1159371649","1159096328"
"Blade Movie - No Likeness","599","1007","Blade ( Blade Movie ) - DO NOT USE","518032992","518032570"
"Blade Movie - No Likeness","599","1007","Blade Movie - No Likeness - DO NOT USE","518032571","518032570"
