"entity_type","composite_key","mg_code","source_name","canonical_id","canonical_code","canonical_name","match_evidence","status"
"property","EDGEHOME/SP001/06/N3","N3","THE NUN 2 2023","46a2193f-c29a-424e-813a-8e173f38cb27","N3","THE NUN 2 2023","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/N8","N8","THE NUN 2018","3e4d0960-fbb8-4e20-add8-88cebf8d4af5","N8","THE NUN 2018","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/NE","NE","NIGHTMARE ON ELM STREET","82f92fab-9620-478e-b33a-83db2a95c9b5","NE","NIGHTMARE ON ELM STREET","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/NG","NG","LION KING (LIVE ACTION)","d794c6fb-9227-47fc-90ef-55d7569ef495","NG","LION KING (LIVE ACTION)","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/NK","NK","NICKTOONS GROUP","f129f007-98f2-4cad-9822-926600e4da16","NK","NICKTOONS GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/NT","NT","NINJA TURTLES GROUP","91806e1c-ea24-4a90-a037-cc3a4b990189","NT","NINJA TURTLES GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/NX","NX","NIGHTMARE BEFORE CHRISTMAS","93d213f5-4fc5-4669-bf0e-7177a691b966","NX","NIGHTMARE BEFORE CHRISTMAS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PA","PA","PETER PAN","282ee9db-10f6-4a46-b066-918866b33de3","PA","PETER PAN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PB","PB","PAW PATROL BOY","ee3f6737-1bdd-45f2-ae59-aac23968f082","PB","PAW PATROL BOY","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PC","PC","DISNEY'S PLANES","43298ef6-0852-421c-80ba-eabc266b7baf","PC","DISNEY'S PLANES","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PE","PE","PRINCESS LEIA","3ca39d32-4d76-4af9-a368-4a803b57002a","PE","PRINCESS LEIA","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PG","PG","PAW PATROL GIRL","20c53ef3-2844-4aa7-93fe-fba5c4ebc624","PG","PAW PATROL GIRL","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PH","PH","CAPTAIN PHASMA","09b51b5a-0307-4c14-b675-d106ae3052aa","PH","CAPTAIN PHASMA","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PK","PK","PUNK HAZARD","15b73ddc-0d65-40f0-8c52-ef0f4e299294","PK","PUNK HAZARD","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PN","PN","DISNEY PRINCESSES","213ed67d-438f-4f5f-bb24-44f79b770704","PN","DISNEY PRINCESSES","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PP","PP","PAW PATROL GROUP","23ec5417-ead7-4ec4-97a8-4623636605e2","PP","PAW PATROL GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PS","PS","POSTER VERBIAGE","4365c185-a7aa-42a3-8ee7-02a98f1bd2a0","PS","POSTER VERBIAGE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PT","PT","MOVIE POSTER","c5a70609-c9ad-4a81-b0b3-60b14b112616","PT","MOVIE POSTER","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PU","PU","PUNISHER","7d31f38b-f65a-4558-b225-4cf2fe6219d2","PU","PUNISHER","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PW","PW","POWERPUFF GIRLS","89fae816-2cd6-462f-ab11-c3853ec141fb","PW","POWERPUFF GIRLS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/PX","PX","MIXED PROPERTIES PIXAR","b6c39c03-6f34-43f3-b84e-87aba615ac45","PX","MIXED PROPERTIES PIXAR","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/QU","QU","QUIDDITCH","f8b1f36d-ac28-43c3-ba53-2ecb3e15994c","QU","QUIDDITCH","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/R2","R2","R2D2","6e7e505b-068f-44b3-8e6b-251b0e27ac71","R2","R2D2","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/RA","RA","RAPHAEL","4fb347ae-6d84-4b81-80ab-a8413de8cbdb","RA","RAPHAEL","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/RE","RE","REBEL ICON","21ab26a1-db69-4b64-89be-8ee3e2b3ffb1","RE","REBEL ICON","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/RG","RG","RUGRATS","d536adfa-10f5-41ba-9154-3cc0610027ed","RG","RUGRATS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/RK","RK","RICK & MORTY","789246d1-d721-40fb-97b6-ecfc73c3e2a3","RK","RICK & MORTY","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/RM","RM","IRON MAN","5278bbb8-cdbd-4435-8d3b-93fd38b72b53","RM","IRON MAN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/RR","RR","ROCKET RACCOON","5a864f47-41cd-47d4-a04d-8f83dd5fbd48","RR","ROCKET RACCOON","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/RU","RU","RUBBLE","5cd92d48-3028-49a0-b984-5b347fdedf14","RU","RUBBLE","code and normalized name agree","proposed_pending_human_approval"
