observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_licensor,normalized_observed_value,active_file_count,raw_property_variants,structural_folder_hint,current_global_would_resolve,currently_tagged_at_risk,proposal_eligible,proposal_exclusion_reason
dd9d7be2-6f77-4183-8e41-3e57a7a20f8b|[blank],resolved,dd9d7be2-6f77-4183-8e41-3e57a7a20f8b,NASA,nasa,,98,"[["""",98]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the exorcist,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,the exorcist,93,"[[""The Exorcist"",93]]",false,false,false,true,
5f951f5e-aaee-4add-bb51-fea888951405|scream franchise,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,scream franchise,92,"[[""Scream Franchise"",92]]",false,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|beetlejuice 2,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,beetlejuice 2,91,"[[""Beetlejuice 2"",91]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|posters,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,posters,86,"[[""_posters"",86]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|70th anniversary peanuts logo,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,70th anniversary peanuts logo,81,"[[""70th Anniversary - Peanuts Logo"",81]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|70th anniversary paper,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,70th anniversary paper,78,"[[""70th Anniversary - Paper"",78]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic crush,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,ev star wars comic crush,67,"[[""EV_Star Wars Comic Crush"",67]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars custom command,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,ev star wars custom command,63,"[[""EV_Star Wars Custom Command"",63]]",false,false,false,true,
5f951f5e-aaee-4add-bb51-fea888951405|footloose,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,footloose,61,"[[""Footloose"",61]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev terrain,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,ev terrain,60,"[[""EV_Terrain"",60]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic book cover style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,ev star wars comic book cover style guide,53,"[[""EV_Star Wars Comic Book Cover Style Guide"",53]]",true,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|i am charlie brown,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,i am charlie brown,53,"[[""I am Charlie Brown"",53]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|classic comics,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,classic comics,50,"[[""Classic Comics"",50]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|be yourself,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,be yourself,49,"[[""Be Yourself"",49]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|santa claus is coming to town,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,santa claus is coming to town,47,"[[""Santa Claus is Coming to Town"",47]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|baseball,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,baseball,47,"[[""Baseball"",47]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|75th anniversary comfort and security style guide,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,75th anniversary comfort and security style guide,46,"[[""75th Anniversary Comfort and Security Style Guide"",46]]",true,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|au bord de la mer,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,au bord de la mer,43,"[[""Au Bord De La Mer"",43]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|m3 gan,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,m3 gan,42,"[[""M3GAN"",42]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|playtime,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,playtime,42,"[[""Playtime"",42]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|rainbow riot,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,rainbow riot,41,"[[""Rainbow Riot"",41]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|fast times at ridgemont high,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,fast times at ridgemont high,40,"[[""Fast Times at Ridgemont High"",40]]",false,false,false,true,
41b43c61-aaea-4f9d-b84c-abfb04de59f1|busch,resolved,41b43c61-aaea-4f9d-b84c-abfb04de59f1,Anheuser Busch,anheuser busch,busch,40,"[[""Busch"",40]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|astronaut pose art volume 1,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,astronaut pose art volume 1,39,"[[""Astronaut Pose Art Volume 1"",39]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|packaging,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,packaging,39,"[[""_Packaging"",39]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|space traveler,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,space traveler,39,"[[""Space Traveler"",39]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|lassie,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,lassie,38,"[[""Lassie"",38]]",false,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|robin hood,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,robin hood,37,"[[""Robin Hood"",37]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|tokyo time,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,tokyo time,37,"[[""Tokyo Time"",37]]",false,false,false,true,
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|ss 25 marvel brand logo update,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,marvel style guide,ss 25 marvel brand logo update,37,"[[""SS 25 MARVEL BRAND LOGO UPDATE"",37]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|brooklyn beach,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,brooklyn beach,36,"[[""Brooklyn Beach"",36]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|love is in bloom,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,love is in bloom,35,"[[""Love is in Bloom"",35]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|playtime naptime,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,playtime naptime,35,"[[""Playtime Naptime"",35]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|road trip,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,road trip,35,"[[""Road Trip"",35]]",false,false,false,true,
7575d1db-dbee-4336-84a9-aa378f05f105|wwe championship titles,resolved,7575d1db-dbee-4336-84a9-aa378f05f105,WWE,wwe,wwe championship titles,34,"[[""WWE Championship Titles"",34]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|neon static,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,neon static,34,"[[""Neon Static"",34]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|rebel with paws,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,rebel with paws,34,"[[""Rebel With Paws"",34]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|rock on,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,rock on,34,"[[""Rock On"",34]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars classics guide product development portfolio,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,ev star wars classics guide product development portfolio,33,"[[""EV_Star Wars Classics Guide Product Development Portfolio"",33]]",false,false,false,true,
a06658c6-7fed-40ac-84e2-7f4802cdd086|miller lite assets,resolved,a06658c6-7fed-40ac-84e2-7f4802cdd086,Miller Coors,miller coors,miller lite assets,33,"[[""Miller Lite Assets"",33]]",true,false,false,true,
1c47d63b-bf79-42ff-876e-c5263f323418|[blank],resolved,1c47d63b-bf79-42ff-876e-c5263f323418,NFL,nfl,,32,"[["""",32]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|doodles,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,doodles,32,"[[""Doodles"",32]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|lamb chop,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,lamb chop,30,"[[""Lamb Chop"",30]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|british invasion,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,british invasion,30,"[[""British Invasion"",30]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|progressive sequence,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,progressive sequence,30,"[[""Progressive Sequence"",30]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|rock tees,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,rock tees,30,"[[""Rock Tees"",30]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|illustrating nature,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,illustrating nature,29,"[[""Illustrating Nature"",29]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|posh sports,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,posh sports,29,"[[""Posh Sports"",29]]",false,false,false,true,
5f951f5e-aaee-4add-bb51-fea888951405|ferris buellers day off,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,ferris buellers day off,28,"[[""Ferris Bueller's Day Off"",28]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|many faces of snoopy flying ace,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,many faces of snoopy flying ace,28,"[[""Many Faces of Snoopy - Flying Ace"",28]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|repetition distortion,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,repetition distortion,28,"[[""Repetition & Distortion"",28]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|graffiti,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,graffiti,27,"[[""Graffiti"",27]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|many faces of snoopy joe preppy,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,many faces of snoopy joe preppy,27,"[[""Many Faces of Snoopy - Joe Preppy"",27]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|half laugh,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,half laugh,26,"[[""Half & Laugh"",26]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|nautical snoopy,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,nautical snoopy,26,"[[""Nautical Snoopy"",26]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|75th anniversary persistence style guide,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,75th anniversary persistence style guide,25,"[[""75th Anniversary Persistence Style Guide"",25]]",true,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|american summer,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,american summer,25,"[[""American Summer"",25]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|play dream giggle,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,play dream giggle,25,"[[""Play Dream Giggle"",25]]",false,false,false,true,
5f951f5e-aaee-4add-bb51-fea888951405|the anchorman the legend of ron burgundy,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,the anchorman the legend of ron burgundy,24,"[[""The Anchorman The Legend of Ron Burgundy"",24]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|astronomy geometry,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,astronomy geometry,24,"[[""Astronomy Geometry"",24]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|many faces of snoopy fierce pirate,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,many faces of snoopy fierce pirate,24,"[[""Many Faces of Snoopy - Fierce Pirate"",24]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|text montage,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,text montage,24,"[[""Text Montage"",24]]",false,false,false,true,
c70e095c-2baf-404e-a2a3-c198a259a3e6|style guide pdfs,resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,coca cola,style guide pdfs,24,"[[""Style Guide PDFs"",24]]",true,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|many faces of snoopy flash beagle,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,many faces of snoopy flash beagle,23,"[[""Many Faces of Snoopy - Flash Beagle"",23]]",false,false,false,true,
